num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
530,229,204,0,0,0,36,0,0
60,47,17,0,0,0,5,0,0
1213,467,365,2,2,2,73,1,0
2153,649,745,1,1,1,87,1,0
280,139,102,0,0,0,23,0,0
934,425,304,0,0,0,66,0,1
7,7,2,0,0,0,2,0,1
291,113,110,0,0,0,35,0,0
38,24,12,0,0,2,4,0,0
33,30,9,0,0,1,2,0,0
133,85,37,0,0,0,4,0,1
85,79,11,0,0,0,1,0,1
119,90,37,0,0,0,9,0,1
90,60,22,0,0,0,24,0,0
126,90,39,0,0,0,3,0,1
227,208,32,0,0,0,17,0,1
24,23,3,0,0,0,6,0,0
37,34,11,0,0,0,8,0,1
65,55,19,1,1,0,7,0,0
259,94,53,4,4,0,28,0,0
28,26,11,0,0,0,0,0,0
65,63,7,0,0,0,17,0,1
204,116,43,0,0,0,34,0,0
168,164,2,0,0,0,22,0,1
20,18,11,0,0,0,0,0,0
14,14,4,0,0,0,0,0,1
94,74,17,1,1,1,4,1,1
157,103,39,2,2,4,17,0,0
135,97,50,0,0,0,8,0,1
24,23,6,0,0,0,4,0,1
49,43,0,0,0,0,27,0,1
182,105,37,0,0,0,13,0,1
178,127,57,3,2,1,5,0,1
146,105,53,0,0,0,9,1,0
186,123,56,0,0,0,4,0,1
795,292,177,0,0,0,141,0,1
33,29,13,0,0,0,2,0,1
104,82,31,0,0,2,8,0,0
278,173,75,0,0,3,14,2,0
352,183,132,0,0,0,6,0,0
389,207,124,2,1,0,23,1,0
60,47,21,0,0,0,5,0,1
222,131,80,0,0,3,7,0,0
138,109,27,0,0,0,8,0,1
21,14,5,0,0,0,7,0,0
212,109,38,0,0,0,59,0,0
169,91,32,0,0,0,16,0,1
5,5,3,0,0,0,0,0,0
632,301,259,5,5,1,29,1,0
73,58,28,0,0,0,3,1,1
33,32,4,0,0,0,8,0,1
42,39,13,0,0,0,1,1,1
11,10,5,0,0,0,0,0,0
137,84,53,0,0,0,0,0,0
15,14,7,0,0,0,3,0,0
447,294,79,0,0,37,74,0,0
23,23,5,0,0,0,2,0,1
16,16,2,0,0,0,2,0,1
46,41,17,0,0,0,0,0,0
31,25,7,1,1,0,4,0,0
306,161,94,2,1,1,12,1,0
788,381,224,1,1,1,24,0,0
125,94,24,1,1,0,29,1,0
87,60,30,0,0,0,11,0,1
35,33,6,0,0,0,5,0,1
75,61,7,0,0,0,33,0,1
120,102,33,0,0,1,8,0,0
153,93,48,0,0,0,3,0,1
220,128,70,0,0,10,16,1,0
307,181,86,9,4,3,26,0,0
305,174,120,0,0,0,4,1,1
399,211,133,0,0,0,4,0,0
37,34,14,0,0,0,1,0,1
79,60,29,0,0,0,4,0,1
108,83,34,0,0,0,3,0,0
386,134,38,0,0,0,25,2,0
85,66,25,0,0,0,9,0,1
58,43,9,0,0,0,15,0,1
72,52,11,0,0,6,20,0,0
124,92,30,3,3,1,12,0,0
159,104,43,0,0,0,4,0,1
64,52,25,0,0,0,4,0,0
191,146,51,0,0,0,31,0,1
22,21,10,0,0,0,1,0,0
480,278,159,0,0,1,21,1,1
1956,541,786,0,0,0,18,1,1
53,43,22,0,0,0,1,0,1
67,62,9,0,0,0,13,0,1
31,28,8,0,0,0,4,0,1
161,105,67,0,0,0,1,1,0
12,10,9,0,0,0,0,0,0
192,116,59,0,0,0,16,1,1
184,105,61,1,1,0,1,0,1
83,60,36,0,0,0,2,0,0
111,104,13,0,0,0,38,0,1
58,46,7,4,4,1,11,0,1
45,44,2,0,0,0,2,0,1
89,65,21,0,0,0,5,0,1
1261,512,115,2,1,2,523,1,0
178,131,49,0,0,0,2,1,1
87,68,26,3,3,0,4,0,1
921,373,322,0,0,0,20,2,1
853,370,247,0,0,16,101,2,0
78,57,31,0,0,0,3,0,0
62,48,26,0,0,0,1,0,0
39,32,19,0,0,0,2,0,0
102,45,10,0,0,0,16,0,0
257,138,63,0,0,0,49,0,0
338,183,65,9,5,35,79,0,0
74,51,29,0,0,0,6,0,0
17,17,6,0,0,0,0,0,0
249,147,80,3,3,3,16,0,1
7,7,2,0,0,0,0,0,0
129,61,12,11,3,12,36,0,0
48,43,10,0,0,0,1,0,0
74,53,25,0,0,0,3,1,0
60,50,18,0,0,0,8,0,0
69,57,24,0,0,0,0,0,0
51,41,7,1,1,1,8,0,0
61,51,22,0,0,0,10,0,1
79,69,14,0,0,0,15,0,1
208,126,73,0,0,0,6,0,1
197,97,46,2,1,8,26,0,0
123,86,30,2,1,2,12,0,0
9,9,1,0,0,0,1,0,0
69,54,26,0,0,0,4,0,0
26,22,4,2,2,0,5,0,0
46,39,20,0,0,0,2,0,0
74,51,33,0,0,0,3,0,0
61,49,14,0,0,0,2,0,0
89,68,31,0,0,0,8,0,1
591,282,204,0,0,0,24,2,1
173,136,50,0,0,0,12,0,1
651,299,188,0,0,0,54,1,1
50,40,16,0,0,0,6,0,0
43,38,7,0,0,0,9,1,1
229,138,65,0,0,0,13,0,0
383,199,150,0,0,0,16,0,0
431,424,14,0,0,0,391,0,1
36,30,10,0,0,0,1,0,0
131,72,28,0,0,0,24,0,0
57,42,12,0,0,1,12,0,0
446,223,177,0,0,0,31,0,0
85,66,24,0,0,0,11,0,1
50,45,10,0,0,0,9,0,1
82,59,25,0,0,0,1,0,1
50,40,16,0,0,0,1,0,0
74,53,28,0,0,0,1,0,1
10,9,0,0,0,0,1,0,0
67,37,6,0,0,0,7,0,0
574,101,90,0,0,0,199,0,1
96,72,37,0,0,0,5,0,0
49,41,21,0,0,0,0,1,0
86,71,25,0,0,0,3,0,1
81,62,21,0,0,0,7,0,1
293,181,109,1,1,0,16,1,1
210,130,21,0,0,0,58,1,1
28,22,6,0,0,0,3,0,1
106,73,29,3,1,0,4,0,1
27,24,9,0,0,0,0,0,0
191,132,63,0,0,0,16,0,0
499,288,158,0,0,0,95,0,1
207,134,62,2,2,3,24,0,0
35,34,5,0,0,0,9,0,1
275,162,92,0,0,0,4,0,1
7,7,0,0,0,0,0,0,0
11,11,1,0,0,0,4,0,1
73,62,18,0,0,0,5,0,1
95,68,36,0,0,0,4,0,0
48,37,5,0,0,4,13,0,0
14,14,3,0,0,0,1,0,1
38,28,7,0,0,2,5,0,0
50,41,19,0,0,0,2,0,1
226,131,78,2,2,0,14,0,0
138,95,50,2,2,1,9,1,1
163,113,42,0,0,0,20,0,0
10,10,3,0,0,0,0,0,0
42,31,14,0,0,0,1,0,1
13,12,3,0,0,0,1,0,0
55,42,6,0,0,0,4,0,1
141,98,47,3,3,1,12,0,1
60,43,18,0,0,3,3,0,0
569,213,141,0,0,4,53,0,0
475,206,179,0,0,6,27,0,0
28,26,10,0,0,0,0,0,0
86,67,31,0,0,0,14,0,1
142,93,48,0,0,2,7,1,0
131,90,57,0,0,0,5,0,0
42,35,4,0,0,0,10,0,0
1132,530,351,0,0,0,155,0,1
9,9,1,0,0,0,2,0,0
67,58,14,1,1,2,5,0,0
83,63,25,0,0,1,3,0,0
208,130,57,0,0,0,6,0,1
583,217,230,0,0,1,44,1,0
92,76,20,0,0,0,7,1,1
67,57,28,0,0,0,1,0,1
154,64,35,0,0,0,14,1,0
41,41,0,0,0,0,4,0,1
76,59,23,0,0,0,6,0,1
56,44,10,0,0,0,0,0,0
98,69,42,0,0,0,6,0,0
25,24,2,0,0,0,10,0,1
1942,588,726,0,0,1,140,1,0
112,74,25,0,0,0,20,0,1
206,98,35,0,0,2,32,0,0
255,118,7,0,0,0,91,0,0
321,148,82,0,0,3,39,1,0
